	text	pos
2292	##계에서	[('#', 'SW'), ('#', 'SW'), ('계', 'XSN'), ('에서', 'JKB')]
2293	진출을	[('진출', 'NNG'), ('을', 'JKO')]
2294	사회를	[('사회', 'NNG'), ('를', 'JKO')]
2295	작품은	[('작품', 'NNG'), ('은', 'JX')]
2296	결혼을	[('결혼', 'NNG'), ('을', 'JKO')]
2297	##문과	[('#', 'SW'), ('#', 'SW'), ('문', 'NNP'), ('과', 'JC')]
2298	통화에서	[('통화', 'NNG'), ('에서', 'JKB')]
2299	##계로	[('#', 'SW'), ('#', 'SW'), ('계', 'XSN'), ('로', 'JKB')]
2300	##코는	[('#', 'SW'), ('#', 'SW'), ('코', 'NNG'), ('는', 'JX')]
2301	행사는	[('행사', 'NNG'), ('는', 'JX')]
2302	머리에	[('머리', 'NNG'), ('에', 'JKB')]
2303	모양의	[('모양', 'NNG'), ('의', 'JKG')]
2304	##감으로	[('#', 'SW'), ('#', 'SW'), ('감', 'NNG'), ('으로', 'JKB')]
2305	##심은	[('#', 'SW'), ('#', 'SW'), ('심', 'NNP'), ('은', 'JX')]
2306	##침을	[('#', 'SW'), ('#', 'SW'), ('침', 'NNG'), ('을', 'JKO')]
2307	부인은	[('부인', 'NNG'), ('은', 'JX')]
2308	##찰을	[('#', 'SW'), ('#', 'SW'), ('차', 'NNP'), ('ㄹ', 'NA'), ('을', 'JKO')]
2309	정권의	[('정권', 'NNG'), ('의', 'JKG')]
2310	기간을	[('기간', 'NNG'), ('을', 'JKO')]
2311	##er는	[('#', 'SW'), ('#', 'SW'), ('er', 'SL'), ('는', 'JX')]
2312	##금리를	[('#', 'SW'), ('#', 'SW'), ('금리', 'NNP'), ('를', 'JKO')]
2313	경제에	[('경제', 'NNG'), ('에', 'JKB')]
2314	##론에	[('#', 'SW'), ('#', 'SW'), ('론', 'XSN'), ('에', 'JKB')]
2315	후보자는	[('후보자', 'NNG'), ('는', 'JX')]
2316	원의	[('원', 'NNB'), ('의', 'JKG')]
2317	기관은	[('기관', 'NNG'), ('은', 'JX')]
2318	어머니의	[('어머니', 'NNG'), ('의', 'JKG')]
2319	위협을	[('위협', 'NNG'), ('을', 'JKO')]
2320	선택을	[('선택', 'NNG'), ('을', 'JKO')]
2321	##진으로	[('#', 'SW'), ('#', 'SW'), ('진', 'NNP'), ('으로', 'JKB')]
2322	##해준	[('#', 'SW'), ('#', 'SW'), ('해주', 'NNP'), ('ㄴ', 'JX')]
2323	##공사는	[('#', 'SW'), ('#', 'SW'), ('공사', 'NNP'), ('는', 'JX')]
2324	의미로	[('의미', 'NNG'), ('로', 'JKB')]
2325	의원들의	[('의원', 'NNG'), ('들', 'XSN'), ('의', 'JKG')]
2326	속의	[('속', 'NNG'), ('의', 'JKG')]
2327	##두를	[('#', 'SW'), ('#', 'SW'), ('두', 'NNP'), ('를', 'JKO')]
2328	##강을	[('#', 'SW'), ('#', 'SW'), ('강', 'NNP'), ('을', 'JKO')]
2329	배경으로	[('배경', 'NNG'), ('으로', 'JKB')]
2330	판정을	[('판정', 'NNG'), ('을', 'JKO')]
2331	##지수는	[('#', 'SW'), ('#', 'SW'), ('지수', 'NNP'), ('는', 'JX')]
2332	정책위의	[('정책위', 'NNG'), ('의', 'JKG')]
2333	##시간에	[('#', 'SW'), ('#', 'SW'), ('시간', 'NNP'), ('에', 'JKB')]
2334	거리에	[('거리', 'NNG'), ('에', 'JKB')]
2335	싸움을	[('싸움', 'NNG'), ('을', 'JKO')]
2336	##간을	[('#', 'SW'), ('#', 'SW'), ('간', 'NNB'), ('을', 'JKO')]
2337	##만원에	[('#', 'SW'), ('#', 'SW'), ('만원', 'NNP'), ('에', 'JKB')]
2338	개정안을	[('개정안', 'NNG'), ('을', 'JKO')]
2339	역량을	[('역량', 'NNG'), ('을', 'JKO')]
2340	주장은	[('주장', 'NNG'), ('은', 'JX')]
2341	##영의	[('#', 'SW'), ('#', 'SW'), ('영', 'NNP'), ('의', 'JKG')]
2342	건강을	[('건강', 'NNG'), ('을', 'JKO')]
2343	신경을	[('신경', 'NNG'), ('을', 'JKO')]
2344	여부는	[('여부', 'NNG'), ('는', 'JX')]
2345	때보다	[('때', 'NNG'), ('보다', 'JKB')]
2346	번에	[('번', 'NNB'), ('에', 'JKB')]
2347	##이지를	[('#', 'SW'), ('#', 'SW'), ('이지', 'NNP'), ('를', 'JKO')]
2348	##분은	[('#', 'SW'), ('#', 'SW'), ('분', 'NNB'), ('은', 'JX')]
2349	미얀	[('미야', 'NNP'), ('ㄴ', 'JX')]
2350	##집에서	[('#', 'SW'), ('#', 'SW'), ('집', 'NNG'), ('에서', 'JKB')]
2351	회장을	[('회장', 'NNG'), ('을', 'JKO')]
2352	##하지도	[('#', 'SW'), ('#', 'SW'), ('하지', 'NNP'), ('도', 'JX')]
2353	미국으로	[('미국', 'NNP'), ('으로', 'JKB')]
2354	이곳에	[('이곳', 'NP'), ('에', 'JKB')]
2355	무의	[('무', 'NNG'), ('의', 'JKG')]
2356	경기는	[('경기', 'NNG'), ('는', 'JX')]
2357	##형에	[('#', 'SW'), ('#', 'SW'), ('형', 'NNG'), ('에', 'JKB')]
2358	##음은	[('#', 'SW'), ('#', 'SW'), ('음', 'NNG'), ('은', 'JX')]
2359	목을	[('목', 'NNG'), ('을', 'JKO')]
2360	##권으로	[('#', 'SW'), ('#', 'SW'), ('권', 'NNP'), ('으로', 'JKB')]
2361	장관의	[('장관', 'NNG'), ('의', 'JKG')]
2362	##마저도	[('#', 'SW'), ('#', 'SW'), ('마저', 'JX'), ('도', 'JX')]
2363	##운을	[('#', 'SW'), ('#', 'SW'), ('운', 'NNG'), ('을', 'JKO')]
2364	자녀를	[('자녀', 'NNG'), ('를', 'JKO')]
2365	명목으로	[('명목', 'NNG'), ('으로', 'JKB')]
2366	##조차도	[('#', 'SW'), ('#', 'SW'), ('조차', 'NNP'), ('도', 'JX')]
2367	시기를	[('시기', 'NNG'), ('를', 'JKO')]
2368	##리아의	[('#', 'SW'), ('#', 'SW'), ('리아', 'NNP'), ('의', 'JKG')]
2369	##o는	[('#', 'SW'), ('#', 'SW'), ('o', 'SL'), ('는', 'JX')]
2370	문서를	[('문서', 'NNG'), ('를', 'JKO')]
2371	어디까지	[('어디', 'NP'), ('까지', 'JX')]
2372	변화에	[('변화', 'NNG'), ('에', 'JKB')]
2373	대통령에	[('대통령', 'NNG'), ('에', 'JKB')]
2374	##위원장을	[('#', 'SW'), ('#', 'SW'), ('위원장', 'NNG'), ('을', 'JKO')]
2375	##보단	[('#', 'SW'), ('#', 'SW'), ('보다', 'JKB'), ('ㄴ', 'JX')]
2376	조건으로	[('조건', 'NNG'), ('으로', 'JKB')]
2377	혼자서	[('혼자', 'NNG'), ('서', 'JKB')]
2378	나이에	[('나이', 'NNG'), ('에', 'JKB')]
2379	상대를	[('상대', 'NNG'), ('를', 'JKO')]
2380	분들은	[('분', 'NNB'), ('들', 'XSN'), ('은', 'JX')]
2381	##해주세요	[('#', 'SW'), ('#', 'SW'), ('해주', 'NNP'), ('세', 'NNB'), ('요', 'JX')]
2382	사항을	[('사항', 'NNG'), ('을', 'JKO')]
2383	에너지를	[('에너지', 'NNG'), ('를', 'JKO')]
2384	문제도	[('문제', 'NNG'), ('도', 'JX')]
2385	압력을	[('압력', 'NNG'), ('을', 'JKO')]
2386	아이템을	[('아이템', 'NNP'), ('을', 'JKO')]
2387	외에는	[('외', 'NNB'), ('에', 'JKB'), ('는', 'JX')]
2388	사이트에	[('사이트', 'NNG'), ('에', 'JKB')]
2389	이상은	[('이상', 'NNG'), ('은', 'JX')]
2390	오랜만에	[('오랜만', 'NNG'), ('에', 'JKB')]
2391	올해의	[('올해', 'NNG'), ('의', 'JKG')]
2392	삼성전자의	[('삼성전자', 'NNP'), ('의', 'JKG')]
2393	초콜	[('초코', 'NNP'), ('ㄹ', 'JKO')]
2394	국방부는	[('국방부', 'NNP'), ('는', 'JX')]
2395	지위를	[('지위', 'NNG'), ('를', 'JKO')]
2396	원칙을	[('원칙', 'NNG'), ('을', 'JKO')]
2397	야당은	[('야당', 'NNG'), ('은', 'JX')]
2398	각각의	[('각각', 'NNG'), ('의', 'JKG')]
2399	시선을	[('시선', 'NNG'), ('을', 'JKO')]
2400	##거야	[('#', 'SW'), ('#', 'SW'), ('거', 'NNB'), ('야', 'JX')]
2401	##속을	[('#', 'SW'), ('#', 'SW'), ('속', 'NNG'), ('을', 'JKO')]
2402	##동과	[('#', 'SW'), ('#', 'SW'), ('동', 'NNG'), ('과', 'JC')]
2403	트위터에	[('트위터', 'NNP'), ('에', 'JKB')]
2404	비로	[('비', 'NNG'), ('로', 'JKB')]
2405	사과를	[('사과', 'NNG'), ('를', 'JKO')]
2406	기업을	[('기업', 'NNG'), ('을', 'JKO')]
2407	초에	[('초', 'NNB'), ('에', 'JKB')]
2408	##발의	[('#', 'SW'), ('#', 'SW'), ('발', 'NNG'), ('의', 'JKG')]
2409	결과로	[('결과', 'NNG'), ('로', 'JKB')]
2410	질의	[('질', 'NNG'), ('의', 'JKG')]
2411	##루의	[('#', 'SW'), ('#', 'SW'), ('루', 'NNG'), ('의', 'JKG')]
2412	다음으로	[('다음', 'NNG'), ('으로', 'JKB')]
2413	나름대로	[('나름', 'NNB'), ('대로', 'JX')]
2414	빚을	[('빚', 'NNG'), ('을', 'JKO')]
2415	현상을	[('현상', 'NNG'), ('을', 'JKO')]
2416	피를	[('피', 'NNG'), ('를', 'JKO')]
2417	제국의	[('제국', 'NNP'), ('의', 'JKG')]
2418	표현을	[('표현', 'NNG'), ('을', 'JKO')]
2419	전투에서	[('전투', 'NNG'), ('에서', 'JKB')]
2420	##사에게	[('#', 'SW'), ('#', 'SW'), ('사', 'NNG'), ('에게', 'JKB')]
2421	미래의	[('미래', 'NNG'), ('의', 'JKG')]
2422	영화의	[('영화', 'NNG'), ('의', 'JKG')]
2423	내의	[('내', 'NP'), ('의', 'JKG')]
2424	##반의	[('#', 'SW'), ('#', 'SW'), ('반', 'NNP'), ('의', 'JKG')]
2425	상을	[('상', 'NNG'), ('을', 'JKO')]
2426	시험을	[('시험', 'NNG'), ('을', 'JKO')]
2427	관점에서	[('관점', 'NNG'), ('에서', 'JKB')]
2428	내용에	[('내용', 'NNG'), ('에', 'JKB')]
2429	전반에	[('전반', 'NNG'), ('에', 'JKB')]
2430	영화는	[('영화', 'NNG'), ('는', 'JX')]
2431	드론	[('드', 'NNP'), ('로', 'JKB'), ('ㄴ', 'JX')]
2432	디자인을	[('디자인', 'NNG'), ('을', 'JKO')]
2433	후보와	[('후보', 'NNG'), ('와', 'JC')]
2434	총재는	[('총재', 'NNG'), ('는', 'JX')]
2435	제재를	[('제재', 'NNG'), ('를', 'JKO')]
2436	진술을	[('진술', 'NNG'), ('을', 'JKO')]
2437	##온은	[('#', 'SW'), ('#', 'SW'), ('온', 'NNP'), ('은', 'JX')]
2438	##폰을	[('#', 'SW'), ('#', 'SW'), ('폰', 'NNP'), ('을', 'JKO')]
2439	##센터는	[('#', 'SW'), ('#', 'SW'), ('센터', 'NNP'), ('는', 'JX')]
2440	차에	[('차', 'NNG'), ('에', 'JKB')]
2441	본인은	[('본인', 'NNG'), ('은', 'JX')]
2442	1일부터	[('1', 'SN'), ('일', 'NNB'), ('부터', 'JX')]
2443	학생들을	[('학생', 'NNG'), ('들', 'XSN'), ('을', 'JKO')]
2444	##금과	[('#', 'SW'), ('#', 'SW'), ('금', 'NNG'), ('과', 'JC')]
2445	선관	[('선', 'NNG'), ('과', 'JKB'), ('ㄴ', 'JX')]
2446	것임을	[('것', 'NNB'), ('이', 'VCP'), ('ㅁ', 'ETN'), ('을', 'JKO')]
2447	##카드를	[('#', 'SW'), ('#', 'SW'), ('카드', 'NNP'), ('를', 'JKO')]
2448	꽤나	[('꽤', 'MAG'), ('나', 'JX')]
2449	곳곳에서	[('곳곳', 'NNG'), ('에서', 'JKB')]
2450	##만큼은	[('#', 'SW'), ('#', 'SW'), ('만큼', 'JKB'), ('은', 'JX')]
2451	##석에서	[('#', 'SW'), ('#', 'SW'), ('석', 'NNP'), ('에서', 'JKB')]
2452	저를	[('저', 'NP'), ('를', 'JKO')]
2453	아이들에게	[('아이들', 'NNP'), ('에게', 'JKB')]
2454	##키아	[('#', 'SW'), ('#', 'SW'), ('키', 'NNP'), ('아', 'JKV')]
2455	요구에	[('요구', 'NNG'), ('에', 'JKB')]
2456	##디에	[('#', 'SW'), ('#', 'SW'), ('디', 'NNP'), ('에', 'JKB')]
2457	이야기는	[('이야기', 'NNG'), ('는', 'JX')]
2458	##채를	[('#', 'SW'), ('#', 'SW'), ('채', 'NNB'), ('를', 'JKO')]
2459	전력을	[('전력', 'NNG'), ('을', 'JKO')]
2460	사랑의	[('사랑', 'NNG'), ('의', 'JKG')]
2461	운영을	[('운영', 'NNG'), ('을', 'JKO')]
2462	##회의에	[('#', 'SW'), ('#', 'SW'), ('회의', 'NNP'), ('에', 'JKB')]
2463	민주당의	[('민주당', 'NNP'), ('의', 'JKG')]
2464	소식통은	[('소식통', 'NNG'), ('은', 'JX')]
2465	##초를	[('#', 'SW'), ('#', 'SW'), ('초', 'NNB'), ('를', 'JKO')]
2466	아이는	[('아이', 'NNG'), ('는', 'JX')]
2467	콘텐츠를	[('콘텐츠', 'NNP'), ('를', 'JKO')]
2468	보호를	[('보호', 'NNG'), ('를', 'JKO')]
2469	선수로	[('선수', 'NNG'), ('로', 'JKB')]
2470	##대회를	[('#', 'SW'), ('#', 'SW'), ('대회', 'NNG'), ('를', 'JKO')]
2471	팬들은	[('팬', 'NNG'), ('들', 'XSN'), ('은', 'JX')]
2472	계획은	[('계획', 'NNG'), ('은', 'JX')]
2473	##커를	[('#', 'SW'), ('#', 'SW'), ('크', 'VA'), ('어', 'EC'), ('를', 'JKO')]
2474	##벽을	[('#', 'SW'), ('#', 'SW'), ('벽', 'NNG'), ('을', 'JKO')]
2475	최고위원은	[('최고', 'NNP'), ('위원', 'NNP'), ('은', 'JX')]
2476	사업의	[('사업', 'NNG'), ('의', 'JKG')]
2477	##음으로	[('#', 'SW'), ('#', 'SW'), ('음', 'NNG'), ('으로', 'JKB')]
2478	내부의	[('내부', 'NNG'), ('의', 'JKG')]
2479	##터로	[('#', 'SW'), ('#', 'SW'), ('터', 'NNB'), ('로', 'JKB')]
2480	##급의	[('#', 'SW'), ('#', 'SW'), ('급', 'NNG'), ('의', 'JKG')]
2481	##e는	[('#', 'SW'), ('#', 'SW'), ('e', 'SL'), ('는', 'JX')]
2482	자격을	[('자격', 'NNG'), ('을', 'JKO')]
2483	##방안을	[('#', 'SW'), ('#', 'SW'), ('방안', 'NNG'), ('을', 'JKO')]
2484	명으로	[('명', 'NNB'), ('으로', 'JKB')]
2485	##커는	[('#', 'SW'), ('#', 'SW'), ('크', 'VA'), ('어', 'EC'), ('는', 'JX')]
2486	길에	[('길', 'NNG'), ('에', 'JKB')]
2487	눈으로	[('눈', 'NNG'), ('으로', 'JKB')]
2488	홈런을	[('홈런', 'NNG'), ('을', 'JKO')]
2489	확대를	[('확대', 'NNG'), ('를', 'JKO')]
2490	##증으로	[('#', 'SW'), ('#', 'SW'), ('증', 'NNG'), ('으로', 'JKB')]
2491	##년에	[('#', 'SW'), ('#', 'SW'), ('년', 'NNB'), ('에', 'JKB')]
2492	집중적으로	[('집중', 'NNG'), ('적', 'XSN'), ('으로', 'JKB')]
2493	##s는	[('#', 'SW'), ('#', 'SW'), ('s', 'SL'), ('는', 'JX')]
2494	##터테인먼트	[('#', 'SW'), ('#', 'SW'), ('터', 'NNB'), ('테이', 'NNP'), ('ㄴ', 'JX'), ('머', 'NP'), ('ㄴ', 'JX'), ('트', 'VV')]
2495	달러에	[('달러', 'NNB'), ('에', 'JKB')]
2496	말씀을	[('말씀', 'NNG'), ('을', 'JKO')]
2497	진심으로	[('진심', 'NNP'), ('으로', 'JKB')]
2498	팔을	[('팔', 'NNG'), ('을', 'JKO')]
2499	카메라를	[('카메라', 'NNG'), ('를', 'JKO')]
2500	최근의	[('최근', 'NNG'), ('의', 'JKG')]
2501	학생들에게	[('학생', 'NNG'), ('들', 'XSN'), ('에게', 'JKB')]
2502	힘으로	[('힘', 'NNG'), ('으로', 'JKB')]
2503	회장과	[('회장', 'NNG'), ('과', 'JC')]
2504	근처의	[('근처', 'NNG'), ('의', 'JKG')]
2505	남의	[('남', 'NNP'), ('의', 'JKG')]
2506	병원을	[('병원', 'NNG'), ('을', 'JKO')]
2507	작업에	[('작업', 'NNG'), ('에', 'JKB')]
2508	이외의	[('이외', 'NNG'), ('의', 'JKG')]
2509	의혹에	[('의혹', 'NNG'), ('에', 'JKB')]
2510	역으로	[('역', 'NNG'), ('으로', 'JKB')]
2511	##티를	[('#', 'SW'), ('#', 'SW'), ('티', 'NNG'), ('를', 'JKO')]
2512	시민들의	[('시민', 'NNG'), ('들', 'XSN'), ('의', 'JKG')]
2513	국가에서	[('국가', 'NNG'), ('에서', 'JKB')]
2514	##업계에	[('#', 'SW'), ('#', 'SW'), ('업계', 'NNG'), ('에', 'JKB')]
2515	수업을	[('수업', 'NNG'), ('을', 'JKO')]
2516	##경기에	[('#', 'SW'), ('#', 'SW'), ('경기', 'NNP'), ('에', 'JKB')]
2517	##키를	[('#', 'SW'), ('#', 'SW'), ('키', 'NNG'), ('를', 'JKO')]
2518	금품을	[('금품', 'NNG'), ('을', 'JKO')]
2519	구속영장을	[('구속영장', 'NNP'), ('을', 'JKO')]
2520	##리던	[('#', 'SW'), ('#', 'SW'), ('리더', 'NNP'), ('ㄴ', 'JX')]
2521	기억을	[('기억', 'NNG'), ('을', 'JKO')]
2522	업계에	[('업계', 'NNG'), ('에', 'JKB')]
2523	자신도	[('자신', 'NNG'), ('도', 'JX')]
2524	방에	[('방', 'NNG'), ('에', 'JKB')]
2525	실력을	[('실력', 'NNG'), ('을', 'JKO')]
2526	안정을	[('안정', 'NNG'), ('을', 'JKO')]
2527	선수를	[('선수', 'NNG'), ('를', 'JKO')]
2528	##는지는	[('#', 'SW'), ('#', 'SW'), ('는', 'JX'), ('지', 'VX'), ('는', 'ETM')]
2529	재판에	[('재판', 'NNG'), ('에', 'JKB')]
2530	성격을	[('성격', 'NNG'), ('을', 'JKO')]
2531	##하길	[('#', 'SW'), ('#', 'SW'), ('하기', 'NNP'), ('ㄹ', 'JKO')]
2532	##거를	[('#', 'SW'), ('#', 'SW'), ('거', 'NNB'), ('를', 'JKO')]
2533	##연구원은	[('#', 'SW'), ('#', 'SW'), ('연구원', 'NNP'), ('은', 'JX')]
2534	손해를	[('손해', 'NNG'), ('를', 'JKO')]
2535	심사를	[('심사', 'NNG'), ('를', 'JKO')]
2536	실질적으로	[('실질', 'NNG'), ('적', 'XSN'), ('으로', 'JKB')]
2537	상승세를	[('상승세', 'NNG'), ('를', 'JKO')]
2538	논란에	[('논란', 'NNG'), ('에', 'JKB')]
2539	계획에	[('계획', 'NNG'), ('에', 'JKB')]
2540	##창을	[('#', 'SW'), ('#', 'SW'), ('창', 'NNG'), ('을', 'JKO')]
2541	##호와	[('#', 'SW'), ('#', 'SW'), ('호', 'NNB'), ('와', 'JKB')]
2542	끝으로	[('끝', 'NNG'), ('으로', 'JKB')]
2543	기술은	[('기술', 'NNG'), ('은', 'JX')]
2544	##종으로	[('#', 'SW'), ('#', 'SW'), ('종', 'NNP'), ('으로', 'JKB')]
2545	##으면서도	[('#', 'SW'), ('#', 'SW'), ('으', 'NNG'), ('이', 'VCP'), ('면서', 'EC'), ('도', 'JX')]
2546	사실에	[('사실', 'NNG'), ('에', 'JKB')]
2547	법원의	[('법원', 'NNG'), ('의', 'JKG')]
2548	##정보를	[('#', 'SW'), ('#', 'SW'), ('정보', 'NNG'), ('를', 'JKO')]
2549	때문으로	[('때문', 'NNB'), ('으로', 'JKB')]
2550	발표를	[('발표', 'NNG'), ('를', 'JKO')]
2551	조직을	[('조직', 'NNG'), ('을', 'JKO')]
2552	행동에	[('행동', 'NNG'), ('에', 'JKB')]
2553	감독을	[('감독', 'NNG'), ('을', 'JKO')]
2554	분석을	[('분석', 'NNG'), ('을', 'JKO')]
2555	건강에	[('건강', 'NNG'), ('에', 'JKB')]
2556	캐릭터를	[('캐릭터', 'NNP'), ('를', 'JKO')]
2557	발로	[('발', 'NNG'), ('로', 'JKB')]
2558	##석으로	[('#', 'SW'), ('#', 'SW'), ('석', 'NNP'), ('으로', 'JKB')]
2559	숨을	[('숨', 'NNG'), ('을', 'JKO')]
2560	직전에	[('직전', 'NNG'), ('에', 'JKB')]
2561	아래에	[('아래', 'NNG'), ('에', 'JKB')]
2562	활성화를	[('활성', 'NNG'), ('화', 'XSN'), ('를', 'JKO')]
2563	돈으로	[('돈', 'NNG'), ('으로', 'JKB')]
2564	##현의	[('#', 'SW'), ('#', 'SW'), ('현', 'NNP'), ('의', 'JKG')]
2565	문제점을	[('문제점', 'NNG'), ('을', 'JKO')]
2566	상원의	[('상원', 'NNP'), ('의', 'JKG')]
2567	##병으로	[('#', 'SW'), ('#', 'SW'), ('병', 'NNG'), ('으로', 'JKB')]
2568	은행의	[('은행', 'NNG'), ('의', 'JKG')]
2569	##라비아	[('#', 'SW'), ('#', 'SW'), ('라비', 'NNP'), ('아', 'JKV')]
2570	일본과	[('일본', 'NNP'), ('과', 'JC')]
2571	게임에	[('게임', 'NNG'), ('에', 'JKB')]
2572	발언은	[('발언', 'NNG'), ('은', 'JX')]
2573	방식의	[('방식', 'NNG'), ('의', 'JKG')]
2574	상대의	[('상대', 'NNG'), ('의', 'JKG')]
2575	나라에서	[('나라', 'NNG'), ('에서', 'JKB')]
2576	총장은	[('총장', 'NNG'), ('은', 'JX')]
2577	뒤에는	[('뒤', 'NNG'), ('에', 'JKB'), ('는', 'JX')]
2578	##린은	[('#', 'SW'), ('#', 'SW'), ('린', 'NNP'), ('은', 'JX')]
2579	승인을	[('승인', 'NNG'), ('을', 'JKO')]
2580	일본을	[('일본', 'NNP'), ('을', 'JKO')]
2581	연구팀은	[('연구', 'NNG'), ('팀', 'NNG'), ('은', 'JX')]
2582	국가에	[('국가', 'NNG'), ('에', 'JKB')]
2583	크기의	[('크기', 'NNG'), ('의', 'JKG')]
2584	##능력을	[('#', 'SW'), ('#', 'SW'), ('능력', 'NNP'), ('을', 'JKO')]
2585	##인데도	[('#', 'SW'), ('#', 'SW'), ('이', 'VCP'), ('ㄴ데', 'EC'), ('도', 'JX')]
2586	원인은	[('원인', 'NNG'), ('은', 'JX')]
2587	##모의	[('#', 'SW'), ('#', 'SW'), ('모', 'NNP'), ('의', 'JKG')]
2588	원인으로	[('원인', 'NNG'), ('으로', 'JKB')]
2589	라면서	[('라면', 'NNP'), ('서', 'JKB')]
2590	##불을	[('#', 'SW'), ('#', 'SW'), ('불', 'NNP'), ('을', 'JKO')]
2591	##계약을	[('#', 'SW'), ('#', 'SW'), ('계약', 'NNP'), ('을', 'JKO')]
2592	##심에	[('#', 'SW'), ('#', 'SW'), ('심', 'NNP'), ('에', 'JKB')]
2593	공격으로	[('공격', 'NNG'), ('으로', 'JKB')]
2594	처분을	[('처분', 'NNG'), ('을', 'JKO')]
2595	대응을	[('대응', 'NNG'), ('을', 'JKO')]
2596	체제를	[('체제', 'NNG'), ('를', 'JKO')]
2597	##동에서	[('#', 'SW'), ('#', 'SW'), ('동', 'NNG'), ('에서', 'JKB')]
2598	##역과	[('#', 'SW'), ('#', 'SW'), ('역', 'NNG'), ('과', 'JC')]
2599	의식을	[('의식', 'NNG'), ('을', 'JKO')]
2600	의무를	[('의무', 'NNG'), ('를', 'JKO')]
2601	##속에서	[('#', 'SW'), ('#', 'SW'), ('속', 'NNG'), ('에서', 'JKB')]
2602	##과에	[('#', 'SW'), ('#', 'SW'), ('과', 'JKB'), ('에', 'JKB')]
2603	여야는	[('여야', 'NNG'), ('는', 'JX')]
2604	이들에게	[('이', 'NP'), ('들', 'XSN'), ('에게', 'JKB')]
2605	대학에	[('대학', 'NNG'), ('에', 'JKB')]
2606	보상을	[('보상', 'NNG'), ('을', 'JKO')]
2607	여파로	[('여파', 'NNG'), ('로', 'JKB')]
2608	##족의	[('#', 'SW'), ('#', 'SW'), ('족', 'NNG'), ('의', 'JKG')]
2609	시점에	[('시점', 'NNG'), ('에', 'JKB')]
2610	휴가를	[('휴가', 'NNG'), ('를', 'JKO')]
2611	휘두	[('휘', 'NNG'), ('두', 'JX')]
2612	전투를	[('전투', 'NNG'), ('를', 'JKO')]
2613	##주의의	[('#', 'SW'), ('#', 'SW'), ('주의', 'NNP'), ('의', 'JKG')]
2614	##나서	[('#', 'SW'), ('#', 'SW'), ('나', 'NP'), ('서', 'JKB')]
2615	원래는	[('원래', 'NNG'), ('는', 'JX')]
2616	달러로	[('달러', 'NNB'), ('로', 'JKB')]
2617	허가를	[('허가', 'NNG'), ('를', 'JKO')]
2618	때로는	[('때', 'NNG'), ('로', 'JKB'), ('는', 'JX')]
2619	##돈을	[('#', 'SW'), ('#', 'SW'), ('돈', 'NNG'), ('을', 'JKO')]
2620	전의	[('전', 'NNG'), ('의', 'JKG')]
2621	트랜	[('트', 'VV'), ('래', 'EC'), ('ㄴ', 'JX')]
2622	사람으로	[('사람', 'NNG'), ('으로', 'JKB')]
2623	방문을	[('방문', 'NNG'), ('을', 'JKO')]
2624	휴식을	[('휴식', 'NNG'), ('을', 'JKO')]
2625	##변을	[('#', 'SW'), ('#', 'SW'), ('변', 'NNP'), ('을', 'JKO')]
2626	관계로	[('관계', 'NNG'), ('로', 'JKB')]
2627	목표는	[('목표', 'NNG'), ('는', 'JX')]
2628	작품의	[('작품', 'NNG'), ('의', 'JKG')]
2629	밥을	[('밥', 'NNG'), ('을', 'JKO')]
2630	##에겐	[('#', 'SW'), ('#', 'SW'), ('에게', 'JKB'), ('ㄴ', 'JX')]
2631	제외하고는	[('제외', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('는', 'JX')]
2632	##르도	[('#', 'SW'), ('#', 'SW'), ('르', 'NNG'), ('도', 'JX')]
2633	##석과	[('#', 'SW'), ('#', 'SW'), ('석', 'NNP'), ('과', 'JC')]
2634	##서비스를	[('#', 'SW'), ('#', 'SW'), ('서비스', 'NNP'), ('를', 'JKO')]
2635	##두로	[('#', 'SW'), ('#', 'SW'), ('두', 'NNP'), ('로', 'JKB')]
2636	##판의	[('#', 'SW'), ('#', 'SW'), ('판', 'NNP'), ('의', 'JKG')]
2637	##제도를	[('#', 'SW'), ('#', 'SW'), ('제도', 'NNP'), ('를', 'JKO')]
2638	약을	[('약', 'NNG'), ('을', 'JKO')]
2639	고객의	[('고객', 'NNG'), ('의', 'JKG')]
2640	여기는	[('여기', 'NP'), ('는', 'JX')]
2641	다시는	[('다시', 'MAG'), ('는', 'JX')]
2642	##통신은	[('#', 'SW'), ('#', 'SW'), ('통신', 'NNP'), ('은', 'JX')]
2643	분의	[('분', 'NNB'), ('의', 'JKG')]
2644	##앞에	[('#', 'SW'), ('#', 'SW'), ('앞', 'NNG'), ('에', 'JKB')]
2645	오렌	[('오레', 'NNP'), ('ㄴ', 'JX')]
2646	##년을	[('#', 'SW'), ('#', 'SW'), ('년', 'NNB'), ('을', 'JKO')]
2647	남을	[('남', 'NNG'), ('을', 'JKO')]
2648	##방으로	[('#', 'SW'), ('#', 'SW'), ('방', 'NNG'), ('으로', 'JKB')]
2649	##전에서는	[('#', 'SW'), ('#', 'SW'), ('전', 'NNP'), ('에서', 'JKB'), ('는', 'JX')]
2650	돈은	[('돈', 'NNG'), ('은', 'JX')]
2651	##러블	[('#', 'SW'), ('#', 'SW'), ('러브', 'NNP'), ('ㄹ', 'JKO')]
2652	##지역에	[('#', 'SW'), ('#', 'SW'), ('지역', 'NNP'), ('에', 'JKB')]
